Namespace(weights=['/home/joseph/Documents/git/yolov7/runs/train/yolo_foosball_det_1/weights/best.pt'], source='/home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4', img_size=640, conf_thres=0.25, iou_thres=0.45, device='', view_img=False, save_txt=False, save_conf=False, nosave=False, classes=None, agnostic_nms=False, augment=False, update=False, project='runs/detect', name='exp', exist_ok=False, no_trace=False)
Fusing layers... 
IDetect.fuse
 Convert model to Traced-model... 
 traced_script_module saved! 
 model is traced! 

video 1/1 (1/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 8 foosmans, Done. (2.4ms) Inference, (84.0ms) NMS
video 1/1 (2/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (4.0ms) Inference, (0.8ms) NMS
video 1/1 (3/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (3.0ms) Inference, (0.7ms) NMS
video 1/1 (4/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 7 foosmans, Done. (3.0ms) Inference, (0.7ms) NMS
video 1/1 (5/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 8 foosmans, Done. (4.2ms) Inference, (1.0ms) NMS
video 1/1 (6/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (3.0ms) Inference, (0.7ms) NMS
video 1/1 (7/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (3.0ms) Inference, (0.7ms) NMS
video 1/1 (8/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (3.0ms) Inference, (0.7ms) NMS
video 1/1 (9/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (4.1ms) Inference, (1.0ms) NMS
video 1/1 (10/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (3.0ms) Inference, (0.7ms) NMS
video 1/1 (11/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (2.9ms) Inference, (0.7ms) NMS
video 1/1 (12/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (3.4ms) Inference, (0.7ms) NMS
video 1/1 (13/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 8 foosmans, Done. (2.9ms) Inference, (0.7ms) NMS
video 1/1 (14/1712) /home/joseph/Documents/project/videos/foosball_videos/foosman_rotation_data_set/Test_0/Top View/gray_VID_20220401_244754092.mp4: 6 foosmans, Done. (3.6ms) Inference, (0.7ms) NMS
